Name	Description	URL	MB	Parameters	Downloads	Last Updated
hermes3	Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research	https://ollama.com/library/hermes3	2048	3b	73.6K	5 weeks ago
hermes3	Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research	https://ollama.com/library/hermes3	4812.8	8b	73.6K	5 weeks ago
hermes3	Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research	https://ollama.com/library/hermes3	40960	70b	73.6K	5 weeks ago
hermes3	Hermes 3 is the latest version of the flagship Hermes series of LLMs by Nous Research	https://ollama.com/library/hermes3	234496	405b	73.6K	5 weeks ago
solar	A compact, yet powerful 10.7B large language model designed for single-turn conversation.	https://ollama.com/library/solar	6246.4	10.7b	71.5K	13 months ago
starling-lm	Starling is a large language model trained by reinforcement learning from AI feedback focused on improving chatbot helpfulness.	https://ollama.com/library/starling-lm	4198.4	7b	71.4K	9 months ago
yi-coder	Yi-Coder is a series of open-source code language models that delivers state-of-the-art coding performance with fewer than 10 billion parameters.	https://ollama.com/library/yi-coder	866	1.5b	70.5K	4 months ago
yi-coder	Yi-Coder is a series of open-source code language models that delivers state-of-the-art coding performance with fewer than 10 billion parameters.	https://ollama.com/library/yi-coder	5120	9b	70.5K	4 months ago
internlm2	InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability.	https://ollama.com/library/internlm2	4608	1m	68K	5 months ago
internlm2	InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability.	https://ollama.com/library/internlm2	1126.4	1.8b	68K	5 months ago
internlm2	InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability.	https://ollama.com/library/internlm2	4608	7b	68K	5 months ago
internlm2	InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability.	https://ollama.com/library/internlm2	11264	20b	68K	5 months ago
llava-phi3	A new small LLaVA model fine-tuned from Phi 3 Mini.	https://ollama.com/library/llava-phi3	2969.6	3.8b	67.8K	8 months ago
samantha-mistral	A companion assistant trained in philosophy, psychology, and personal relationships. Based on Mistral.	https://ollama.com/library/samantha-mistral	4198.4	7b	66K	15 months ago
falcon	A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots.	https://ollama.com/library/falcon	4300.8	7b	66K	15 months ago
falcon	A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots.	https://ollama.com/library/falcon	24576	40b	66K	15 months ago
falcon	A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots.	https://ollama.com/library/falcon	103424	180b	66K	15 months ago
athene-v2	Athene-V2 is a 72B parameter model which excels at code completion, mathematics, and log extraction tasks.	https://ollama.com/library/athene-v2	48128	72b	62.8K	2 months ago
mistral-small	Mistral Small is a lightweight model designed for cost-effective use in tasks like translation and summarization.	https://ollama.com/library/mistral-small	13312	22b	62.4K	4 months ago
orca2	Orca 2 is built by Microsoft research, and are a fine-tuned version of Meta's Llama 2 models.  The model is designed to excel particularly in reasoning.	https://ollama.com/library/orca2	3891.2	7b	60.5K	14 months ago
orca2	Orca 2 is built by Microsoft research, and are a fine-tuned version of Meta's Llama 2 models.  The model is designed to excel particularly in reasoning.	https://ollama.com/library/orca2	7577.6	13b	60.5K	14 months ago
stable-beluga	Llama 2 based model fine tuned on an Orca-style dataset. Originally called Free Willy.	https://ollama.com/library/stable-beluga	3891.2	7b	57.6K	15 months ago
stable-beluga	Llama 2 based model fine tuned on an Orca-style dataset. Originally called Free Willy.	https://ollama.com/library/stable-beluga	7577.6	13b	57.6K	15 months ago
stable-beluga	Llama 2 based model fine tuned on an Orca-style dataset. Originally called Free Willy.	https://ollama.com/library/stable-beluga	39936	70b	57.6K	15 months ago
nemotron	Llama-3.1-Nemotron-70B-Instruct is a large language model customized by NVIDIA to improve the helpfulness of LLM generated responses to user queries.	https://ollama.com/library/nemotron	44032	70b	57K	3 months ago
dolphin-phi	2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.	https://ollama.com/library/dolphin-phi	1638.4	2.7b	56.6K	13 months ago
wizardlm-uncensored	Uncensored version of Wizard LM model	https://ollama.com/library/wizardlm-uncensored	7577.6	13b	54.5K	15 months ago
nemotron-mini	A commercial-friendly small language model by NVIDIA optimized for roleplay, RAG QA, and function calling.	https://ollama.com/library/nemotron-mini	2764.8	4b	51.7K	4 months ago
llama3-groq-tool-use	A series of models from Groq that represent a significant advancement in open-source AI capabilities for tool use/function calling.	https://ollama.com/library/llama3-groq-tool-use	4812.8	8b	44.3K	6 months ago
llama3-groq-tool-use	A series of models from Groq that represent a significant advancement in open-source AI capabilities for tool use/function calling.	https://ollama.com/library/llama3-groq-tool-use	40960	70b	44.3K	6 months ago
yarn-mistral	An extension of Mistral to support context windows of 64K or 128K.	https://ollama.com/library/yarn-mistral	4198.4	7b	44.1K	14 months ago
medllama2	Fine-tuned Llama 2 model to answer medical questions based on an open source medical dataset.	https://ollama.com/library/medllama2	3891.2	7b	43.7K	15 months ago
meditron	Open-source medical large language model adapted from Llama 2 to the medical domain.	https://ollama.com/library/meditron	3891.2	7b	43K	13 months ago
meditron	Open-source medical large language model adapted from Llama 2 to the medical domain.	https://ollama.com/library/meditron	39936	70b	43K	13 months ago
nexusraven	Nexus Raven is a 13B instruction tuned model for function calling tasks.	https://ollama.com/library/nexusraven	7577.6	13b	40.4K	12 months ago
granite3-dense	The IBM Granite 2B and 8B models are designed to support tool-based use cases and support for retrieval augmented generation (RAG), streamlining code generation, translation and bug fixing.	https://ollama.com/library/granite3-dense	1638.4	2b	38.3K	2 months ago
granite3-dense	The IBM Granite 2B and 8B models are designed to support tool-based use cases and support for retrieval augmented generation (RAG), streamlining code generation, translation and bug fixing.	https://ollama.com/library/granite3-dense	5017.6	8b	38.3K	2 months ago
nous-hermes2-mixtral	The Nous Hermes 2 model from Nous Research, now trained over Mixtral.	https://ollama.com/library/nous-hermes2-mixtral	26624	8x7b	37K	4 weeks ago
codeup	Great code generation model based on Llama2.	https://ollama.com/library/codeup	7577.6	13b	35.7K	15 months ago
everythinglm	Uncensored Llama2 based model with support for a 16K context window.	https://ollama.com/library/everythinglm	7577.6	13b	34.8K	13 months ago
granite3.1-dense	The IBM Granite 2B and 8B models are text-only dense LLMs trained on over 12 trillion tokens of data, demonstrated significant improvements over their predecessors in performance and speed in IBM’s initial testing.	https://ollama.com/library/granite3.1-dense	1638.4	2b	34.5K	4 days ago
granite3.1-dense	The IBM Granite 2B and 8B models are text-only dense LLMs trained on over 12 trillion tokens of data, demonstrated significant improvements over their predecessors in performance and speed in IBM’s initial testing.	https://ollama.com/library/granite3.1-dense	5120	8b	34.5K	4 days ago
dolphin3	Dolphin 3.0 Llama 3.1 8B ?? is the next generation of the Dolphin series of instruct-tuned models designed to be the ultimate general purpose local model, enabling coding, math, agentic, function calling, and general use cases.	https://ollama.com/library/dolphin3	5017.6	8b	33.2K	2 weeks ago
smallthinker	A new small reasoning model fine-tuned from the Qwen 2.5 3B Instruct model.	https://ollama.com/library/smallthinker	3686.4	3b	32.9K	3 weeks ago
magicoder	Magicoder is a family of 7B parameter models trained on 75K synthetic instruction data using OSS-Instruct, a novel approach to enlightening LLMs with open-source code snippets.	https://ollama.com/library/magicoder	3891.2	7b	30.9K	13 months ago
stablelm-zephyr	A lightweight chat model allowing accurate, and responsive output without requiring high-end hardware.	https://ollama.com/library/stablelm-zephyr	1638.4	3b	30.3K	13 months ago
falcon2	Falcon2 is an 11B parameters causal decoder-only model built by TII and trained over 5T tokens.	https://ollama.com/library/falcon2	6553.6	11b	30.2K	8 months ago
codebooga	A high-performing code instruct model created by merging two existing code models.	https://ollama.com/library/codebooga	19456	34b	29.9K	15 months ago
mathstral	Mathstral: a 7B model designed for math reasoning and scientific discovery by Mistral AI.	https://ollama.com/library/mathstral	4198.4	7b	28.7K	6 months ago
wizard-vicuna	Wizard Vicuna is a 13B parameter model based on Llama 2 trained by MelodysDreamj.	https://ollama.com/library/wizard-vicuna	7577.6	13b	28.5K	15 months ago
mistrallite	MistralLite is a fine-tuned model based on Mistral with enhanced capabilities of processing long contexts.	https://ollama.com/library/mistrallite	4198.4	7b	28.3K	14 months ago
duckdb-nsql	7B parameter text-to-SQL model made by MotherDuck and Numbers Station.	https://ollama.com/library/duckdb-nsql	3891.2	7b	27.7K	11 months ago
reader-lm	A series of models that convert HTML content to Markdown content, which is useful for content conversion tasks.	https://ollama.com/library/reader-lm	352	0.5b	27.2K	4 months ago
reader-lm	A series of models that convert HTML content to Markdown content, which is useful for content conversion tasks.	https://ollama.com/library/reader-lm	935	1.5b	27.2K	4 months ago
deepseek-v3	A strong Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token.	https://ollama.com/library/deepseek-v3	413696	671b	26.3K	8 days ago
marco-o1	An open large reasoning model for real-world solutions by the Alibaba International Digital Commerce Group (AIDC-AI).	https://ollama.com/library/marco-o1	4812.8	7b	26K	7 weeks ago
solar-pro	Solar Pro Preview: an advanced large language model (LLM) with 22 billion parameters designed to fit into a single GPU	https://ollama.com/library/solar-pro	13312	22b	25.8K	4 months ago
aya-expanse	Cohere For AI's language models trained to perform well across 23 different languages.	https://ollama.com/library/aya-expanse	5222.4	8b	25.7K	2 months ago
aya-expanse	Cohere For AI's language models trained to perform well across 23 different languages.	https://ollama.com/library/aya-expanse	20480	32b	25.7K	2 months ago
bge-large	Embedding model from BAAI mapping texts to vectors.	https://ollama.com/library/bge-large	671	335m	24.9K	5 months ago
granite3-moe	The IBM Granite 1B and 3B models are the first mixture of experts (MoE) Granite models from IBM designed for low latency usage.	https://ollama.com/library/granite3-moe	822	1b	24.6K	2 months ago
granite3-moe	The IBM Granite 1B and 3B models are the first mixture of experts (MoE) Granite models from IBM designed for low latency usage.	https://ollama.com/library/granite3-moe	2150.4	3b	24.6K	2 months ago
megadolphin	MegaDolphin-2.2-120b is a transformation of Dolphin-2.2-70b created by interleaving the model with itself.	https://ollama.com/library/megadolphin	69632	120b	24.6K	12 months ago
notux	A top-performing mixture of experts model, fine-tuned with high-quality data.	https://ollama.com/library/notux	26624	8x7b	23.5K	13 months ago
open-orca-platypus2	Merge of the Open Orca OpenChat model and the Garage-bAInd Platypus 2 model. Designed for chat and code generation.	https://ollama.com/library/open-orca-platypus2	7577.6	13b	22.9K	15 months ago
notus	A 7B chat model fine-tuned with high-quality data and based on Zephyr.	https://ollama.com/library/notus	4198.4	7b	22.9K	12 months ago
nuextract	A 3.8B model fine-tuned on a private high-quality synthetic dataset for information extraction, based on Phi-3.	https://ollama.com/library/nuextract	2252.8	3.8b	19.5K	6 months ago
falcon3	A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques.	https://ollama.com/library/falcon3	1843.2	1b	18.7K	5 weeks ago
falcon3	A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques.	https://ollama.com/library/falcon3	2048	3b	18.7K	5 weeks ago
falcon3	A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques.	https://ollama.com/library/falcon3	4710.4	7b	18.7K	5 weeks ago
falcon3	A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques.	https://ollama.com/library/falcon3	6451.2	10b	18.7K	5 weeks ago
bespoke-minicheck	A state-of-the-art fact-checking model developed by Bespoke Labs.	https://ollama.com/library/bespoke-minicheck	4812.8	7b	18.4K	4 months ago
dbrx	DBRX is an open, general-purpose LLM created by Databricks.	https://ollama.com/library/dbrx	75776	132b	17.4K	9 months ago
opencoder	OpenCoder is an open and reproducible code LLM family which includes 1.5B and 8B models, supporting chat in English and Chinese languages.	https://ollama.com/library/opencoder	1433.6	1.5b	17.2K	2 months ago
opencoder	OpenCoder is an open and reproducible code LLM family which includes 1.5B and 8B models, supporting chat in English and Chinese languages.	https://ollama.com/library/opencoder	4812.8	8b	17.2K	2 months ago
firefunction-v2	An open weights function calling model based on Llama 3, competitive with GPT-4o function calling capabilities.	https://ollama.com/library/firefunction-v2	40960	70b	17K	6 months ago
llama-guard3	Llama Guard 3 is a series of models fine-tuned for content safety classification of LLM inputs and responses.	https://ollama.com/library/llama-guard3	1638.4	1b	15.8K	3 months ago
llama-guard3	Llama Guard 3 is a series of models fine-tuned for content safety classification of LLM inputs and responses.	https://ollama.com/library/llama-guard3	5017.6	8b	15.8K	3 months ago
deepseek-v2.5	An upgraded version of DeekSeek-V2  that integrates the general and coding abilities of both DeepSeek-V2-Chat and DeepSeek-Coder-V2-Instruct.	https://ollama.com/library/deepseek-v2.5	136192	236b	15.7K	4 months ago
shieldgemma	ShieldGemma is set of instruction tuned models for evaluating the safety of text prompt input and text output responses against a set of defined safety policies.	https://ollama.com/library/shieldgemma	1740.8	2b	15.7K	3 months ago
shieldgemma	ShieldGemma is set of instruction tuned models for evaluating the safety of text prompt input and text output responses against a set of defined safety policies.	https://ollama.com/library/shieldgemma	5939.2	9b	15.7K	3 months ago
shieldgemma	ShieldGemma is set of instruction tuned models for evaluating the safety of text prompt input and text output responses against a set of defined safety policies.	https://ollama.com/library/shieldgemma	17408	27b	15.7K	3 months ago
paraphrase-multilingual	Sentence-transformers model that can be used for tasks like clustering or semantic search.	https://ollama.com/library/paraphrase-multilingual	563	278m	15.4K	5 months ago
snowflake-arctic-embed2	Snowflake's frontier embedding model. Arctic Embed 2.0 adds multilingual support without sacrificing English performance or scalability.	https://ollama.com/library/snowflake-arctic-embed2	1228.8	568m	14.7K	6 weeks ago
alfred	A robust conversational model designed to be used for both chat and instruct use cases.	https://ollama.com/library/alfred	24576	40b	14.7K	14 months ago
granite3.1-moe	The IBM Granite 1B and 3B models are long-context mixture of experts (MoE) Granite models from IBM designed for low latency usage.	https://ollama.com/library/granite3.1-moe	1433.6	1b	11.8K	4 days ago
granite3.1-moe	The IBM Granite 1B and 3B models are long-context mixture of experts (MoE) Granite models from IBM designed for low latency usage.	https://ollama.com/library/granite3.1-moe	2048	3b	11.8K	4 days ago
tulu3	Tulu 3 is a leading instruction following model family, offering fully open-source data, code, and recipes by the The Allen Institute for AI.	https://ollama.com/library/tulu3	5017.6	8b	10.5K	4 weeks ago
tulu3	Tulu 3 is a leading instruction following model family, offering fully open-source data, code, and recipes by the The Allen Institute for AI.	https://ollama.com/library/tulu3	44032	70b	10.5K	4 weeks ago
exaone3.5	EXAONE 3.5 is a collection of instruction-tuned bilingual (English and Korean) generative models ranging from 2.4B to 32B parameters, developed and released by LG AI Research.	https://ollama.com/library/exaone3.5	1638.4	2.4b	9,881	6 weeks ago
exaone3.5	EXAONE 3.5 is a collection of instruction-tuned bilingual (English and Korean) generative models ranging from 2.4B to 32B parameters, developed and released by LG AI Research.	https://ollama.com/library/exaone3.5	4915.2	7.8b	9,881	6 weeks ago
exaone3.5	EXAONE 3.5 is a collection of instruction-tuned bilingual (English and Korean) generative models ranging from 2.4B to 32B parameters, developed and released by LG AI Research.	https://ollama.com/library/exaone3.5	19456	32b	9,881	6 weeks ago
granite-embedding	The IBM Granite Embedding 30M and 278M models models are text-only dense biencoder embedding models, with 30M available in English only and 278M serving multilingual use cases.	https://ollama.com/library/granite-embedding	63	30m	8,238	5 weeks ago
granite-embedding	The IBM Granite Embedding 30M and 278M models models are text-only dense biencoder embedding models, with 30M available in English only and 278M serving multilingual use cases.	https://ollama.com/library/granite-embedding	563	278m	8,238	5 weeks ago
olmo2	OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.	https://ollama.com/library/olmo2	4608	7b	5,830	10 days ago
olmo2	OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.	https://ollama.com/library/olmo2	8601.6	13b	5,830	10 days ago
command-r7b	The smallest model in Cohere's R series delivers top-tier speed, efficiency, and quality to build powerful AI applications on commodity GPUs and edge devices.	https://ollama.com/library/command-r7b	5222.4	7b	5,654	5 days ago
granite3-guardian	The IBM Granite Guardian 3.0 2B and 8B models are designed to detect risks in prompts and/or responses.	https://ollama.com/library/granite3-guardian	2764.8	2b	4,552	2 months ago
granite3-guardian	The IBM Granite Guardian 3.0 2B and 8B models are designed to detect risks in prompts and/or responses.	https://ollama.com/library/granite3-guardian	5939.2	8b	4,552	2 months ago
sailor2	Sailor2 are multilingual language models made for South-East Asia. Available in 1B, 8B, and 20B parameter sizes.	https://ollama.com/library/sailor2	1126.4	1b	3,469	7 weeks ago
sailor2	Sailor2 are multilingual language models made for South-East Asia. Available in 1B, 8B, and 20B parameter sizes.	https://ollama.com/library/sailor2	5324.8	8b	3,469	7 weeks ago
sailor2	Sailor2 are multilingual language models made for South-East Asia. Available in 1B, 8B, and 20B parameter sizes.	https://ollama.com/library/sailor2	12288	20b	3,469	7 weeks ago
